,id,Title,Product_URL,Price_now,PHOTO_URL,Brand,Type,Color,Frameininches,Size,Gender,RidingStyle,Material,WheelSize,RearDerailleur,ItemCondition,Availability,bikeID,State,City,BrakingType
591,13695,Jamis Helix A1 2019,https://www.bikeexchange.com/a/hardtail-mountain-bikes/jamis/tn/memphis/helix-a1/143130411,569.0,https://marketplacer.imgix.net/vL/XCpQzlKIzU6sN-X2akGe6E7O8.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=3aeaa07ed6b30f8e1264c2e1f66c1bec,Jamis,Hardtail Mountain Bikes,"Blue, Red","14"", 16"", 18""","Small, Medium, Large",Womens,Trail,Aluminum,"27.5""",Shimano TX800,New,In-store,143130411,TN,Memphis,.
592,13696,Cannondale F-Si HM 1 2018,https://www.bikeexchange.com/a/hardtail-mountain-bikes/cannondale/ca/torrance/f-si-hm-1/113091100,5999.99,https://marketplacer.imgix.net/U6/8umZm2c1tq-sVMjc3krC0mfyU.ashx?auto=format&fm=pjpg&fit=max&w=640&h=576&s=51f462a2017298d58b831dc6108bfaea,Cannondale,Hardtail Mountain Bikes,Matte Black,"17""",Medium,Unisex,Cross Country,Carbon,"29""",SRAM XX1 Eagle,New,In-store,113091100,CA,Torrance,.
593,13697,Haro FLC Pro 2019,https://www.bikeexchange.com/a/hardtail-mountain-bikes/haro/tn/memphis/flc-pro/143130239,3479.99,https://marketplacer.imgix.net/3Y/mXuBRRCZdsGhp7CbkGqBIlvNs.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=de311df4482f58714604a784af949b96,Haro,Hardtail Mountain Bikes,Chrome,"15"", 17"", 19""","Small, Medium, Large",Unisex,Trail,Carbon,"27.5""",SRAM X01 Eagle,New,In-store,143130239,TN,Memphis,.
594,13698,Specialized Sj Fsr Pro Carbon 29 2018,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/specialized/ca/torrance/sj-fsr-pro-carbon-29/113090858,6400.0,https://marketplacer.imgix.net/5V/eM3DSpk7NGerHImZJ1dhEbB-Y?auto=format&fm=pjpg&fit=max&w=640&h=576&s=4c82ef02e3445655e8de91f6687cd86b,Specialized,Full Suspension Mountain Bikes,Silver,"15.5""",Small,Unisex,Trail,Carbon,"29""",SRAM X01 Eagle,New,In-store,113090858,CA,Torrance,.
595,13699,Specialized Pitch Expert 27.5 2018,https://www.bikeexchange.com/a/hardtail-mountain-bikes/specialized/ut/woods-cross/pitch-expert-27-5/114665154,640.0,https://marketplacer.imgix.net/DL/L-I4TvLhEORkKXtVnoy6zeXXE?auto=format&fm=pjpg&fit=max&w=640&h=576&s=6d48f1d8bfee8fce4e447c01c3a01efa,Specialized,Hardtail Mountain Bikes,Mint Green,"17.5""",Large,Unisex,Trail,Aluminum,"27.5""",Shimano Deore,New,In-store,114665154,UT,Woods Cross,.
596,13700,Scott Contessa Genius 720 2019,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/scott/ca/los-angeles/contessa-genius-720/146256219,3499.99,https://marketplacer.imgix.net/uD/uwKEGVXHf0snGQMjzVh_Bj-t0.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=04a92550c827846f9a1da70462693eb1,Scott,Full Suspension Mountain Bikes,Navy Blue,"16"", 17"", 19""","Small, Medium, Large",Womens,Trail,Aluminum,"27.5""",SRAM GX Eagle,New,In-store,146256219,CA,Los Angeles,.
597,13701,Cannondale 29 Habit Crb 1 2019,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/cannondale/mo/parkville/29-habit-crb-1/145619922,7900.0,https://marketplacer.imgix.net/BU/-jOWRfnichKPTc-cKb0pYwkAg.ashx?auto=format&fm=pjpg&fit=max&w=640&h=576&s=6ed74b218b99d8caa14cabf4dd1feb64,Cannondale,Full Suspension Mountain Bikes,.,.,.,Unisex,Trail,Carbon,"29""",Shimano XTR,New,"Pick Up In Store, In-store",145619922,MO,Parkville,.
598,13702,Jamis Durango A2 2019,https://www.bikeexchange.com/a/hardtail-mountain-bikes/jamis/tn/memphis/durango-a2/143130406,469.0,https://marketplacer.imgix.net/Zi/eQTlFhVSt4iRXH6q8i4Zo3BdU.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=646cc4ba85bcc440864a013f9213e0ec,Jamis,Hardtail Mountain Bikes,"Black, Green","15"", 17"", 19"", 21""","Small, Medium, Large, XL",Unisex,Trail,Aluminum,"29""",Shimano TY500,New,In-store,143130406,TN,Memphis,.
599,13703,KHS Tempe 2017,https://www.bikeexchange.com/a/hardtail-mountain-bikes/khs/ca/torrance/tempe/113091226,1139.0,https://marketplacer.imgix.net/Rs/xVMcuT7gqvzD2t08NCmdHMHXk.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=848bc6a6a75a7d3276b60c6e46ed9a89,KHS,Hardtail Mountain Bikes,Black,"15""",Small,Unisex,Cross Country,Aluminum,"29""",SRAM NX,New,In-store,113091226,CA,Torrance,.
600,13704,Fuji A DD Y 27.5 1.9 2019,https://www.bikeexchange.com/a/hardtail-mountain-bikes/fuji/in/monticello/addy-27-5-1-9/160114003,599.99,https://marketplacer.imgix.net/tg/o9bx6Bbq845HrgpbGBxL6L17o.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=7f700effe1bbeb9880fbefa83b727793,Fuji,Hardtail Mountain Bikes,Red,"13"", 15"", 17"", 19""","XS, Small, Medium, Large",Womens,Trail,Aluminum,"27.5""",Shimano Tourney,New,In-store,160114003,IN,Monticello,.
601,13705,2016 Cannondale Catalyst 3,https://www.bikeexchange.com/a/hardtail-mountain-bikes/2016-cannondale/tx/denton/catalyst-3/107661291,499.99,https://marketplacer.imgix.net/nK/g0KGDfRh6YpNhaG0__Eyynwhk.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=9e83c5317a1c9ac3438f02bc1ee6c076,2016 Cannondale,Hardtail Mountain Bikes,Black,"13""",XS,Unisex,Recreational,Aluminum,"27.5""",Shimano Tourney,New,In-store,107661291,TX,Denton,.
602,13706,Cannondale Trail 6 2020,https://www.bikeexchange.com/a/hardtail-mountain-bikes/cannondale/ky/erlanger/trail-6/159811386,650.0,https://marketplacer.imgix.net/sL/8uSNBCFlJN4QnkUd19YiqAUOA.png?auto=format&fm=pjpg&fit=max&w=640&h=576&s=eae0f499f0b556ed231ea48c47335b84,Cannondale,Hardtail Mountain Bikes,.,.,.,Unisex,Trail,Aluminum,"27.5""",Shimano Acera,New,"Pick Up In Store, In-store",159811386,KY,Erlanger,.
603,13707,Haro Double Peak 27.5+ Trail 2019,https://www.bikeexchange.com/a/hardtail-mountain-bikes/haro/tn/memphis/double-peak-27-5-trail/143130240,699.99,https://marketplacer.imgix.net/Sy/N224OjifkRckDh0_Rzm68ZCtI.png?auto=format&fm=pjpg&fit=max&w=640&h=576&s=2c6e6e284a4331fbf67afdc1b8d40e65,Haro,Hardtail Mountain Bikes,Grey,"14"", 16"", 18"", 20""","XS, Small, Medium, Large",Unisex,Trail,Aluminum,"27.5""",Shimano Acera,New,In-store,143130240,TN,Memphis,.
604,13709,Liv Intrigue Advanced 2 2020,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/liv/pa/nazareth/intrigue-advanced-2/165760936,3150.0,https://marketplacer.imgix.net/Bz/cZUgAr2d7QMYTVA76VpibFOwE.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=05f830b117f2798b3d43a50e8d9a3fc8,Liv,Full Suspension Mountain Bikes,Turtle,"15"", 16"", 17.5"", 19""","Small, Medium, Large, XL",Womens,Cross Country,Carbon Alloy Composite,"27.5""",SRAM SX Eagle,New,In-store,165760936,PA,Nazareth,.
605,13710,Cannondale Habit Al 6 2017,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/cannondale/tx/pasadena/habit-al-6/105545907,1899.99,https://marketplacer.imgix.net/ON/gW_8jSKT5d2ynGFn6S5xL-hTA.ashx?auto=format&fm=pjpg&fit=max&w=640&h=576&s=859be0dded5d09f7ad10c074383a7762,Cannondale,Full Suspension Mountain Bikes,Black,"16"", 17"", 19"", 20.5""","Small, Medium, Large, XL",Unisex,Trail,Aluminum,"27.5""",SRAM GX,New,In-store,105545907,TX,Pasadena,.
606,13711,Specialized Chisel Dsw Comp 29 2018,https://www.bikeexchange.com/a/hardtail-mountain-bikes/specialized/ca/torrance/chisel-dsw-comp-29/113090884,1500.0,https://marketplacer.imgix.net/bH/HpT5Cp76KwNe2lvmYYppxApK4?auto=format&fm=pjpg&fit=max&w=640&h=576&s=b174c66a12ced26bc34eba1d06a5b842,Specialized,Hardtail Mountain Bikes,Grey,"15.5""",Small,Unisex,Cross Country,Aluminum,"29""",Shimano XT,New,In-store,113090884,CA,Torrance,.
607,13712,Cannondale Foray 3 2017,https://www.bikeexchange.com/a/hardtail-mountain-bikes/cannondale/tx/pasadena/foray-3/105545884,490.0,https://marketplacer.imgix.net/w2/PSI3gzXoiPFz5hNumtq4HbImE.ashx?auto=format&fm=pjpg&fit=max&w=640&h=576&s=b32228de8d121feb395422db8cab906d,Cannondale,Hardtail Mountain Bikes,"Green, Grey","20"", 21"", 22"", 23""","XS, Small, Medium, Large",Womens,Recreational,Aluminum,"27.5""",Shimano Tourney,New,In-store,105545884,TX,Pasadena,.
608,13713,Giant XTC Advanced + SS 2017,https://www.bikeexchange.com/a/hardtail-mountain-bikes/giant/tx/pasadena/xtc-advanced-ss/105546009,2450.0,https://marketplacer.imgix.net/m8/JjP4zrtVSLLGJZouExB6c0uVg.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=d841862c9b8dd4f3cb8f8f80f3059ab4,Giant,Hardtail Mountain Bikes,Grey,"16"", 18"", 20"", 22""","Small, Medium, Large, XL",Unisex,Cross Country,Carbon Alloy Composite,"27.5""",Singlespeed,New,In-store,105546009,TX,Pasadena,.
609,13714,Cannondale Cujo 2 2020,https://www.bikeexchange.com/a/hardtail-mountain-bikes/cannondale/oh/west-chester/cujo-2/152626633,1350.0,https://marketplacer.imgix.net/ZY/ttwfFZm7YEse1oQqpfleaYtK0.png?auto=format&fm=pjpg&fit=max&w=640&h=576&s=1387bfaaed2e20bf1746c3a383486dfa,Cannondale,Hardtail Mountain Bikes,Olive,"19""",Large,Unisex,Trail,Aluminum,"27.5""",SRAM SX Eagle,New,In-store,152626633,OH,West Chester,.
610,13715,Haro Calavera 27.Five Sport 2016,https://www.bikeexchange.com/a/hardtail-mountain-bikes/haro/ca/cameron-park/calavera-27-five-sport/102407647,499.99,https://marketplacer.imgix.net/lz/iVEzGh8MH3YZlAURIhyVRC6To.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=0e11422be58cce2203c5f8f94ad8b88a,Haro,Hardtail Mountain Bikes,Red,"14"", 15""","XS, Small",Unisex,Cross Country,Aluminum,"27.5""",Shimano Altus,New,In-store,102407647,CA,Cameron Park,.
611,13717,Cannondale Trail 3 2020,https://www.bikeexchange.com/a/hardtail-mountain-bikes/cannondale/ia/north-liberty/trail-3/186550863,1300.0,https://marketplacer.imgix.net/0K/mbYxPjgnGBy74vFnmZ1zotMfE.png?auto=format&fm=pjpg&fit=max&w=640&h=576&s=f1a0b6245c24cee73dc6b4565150242d,Cannondale,Hardtail Mountain Bikes,.,.,.,Unisex,Trail,Aluminum,"29""",SRAM SX Eagle,New,"Pick Up In Store, In-store",186550863,IA,North Liberty,.
612,13718,Scott Scale 970 2019,https://www.bikeexchange.com/a/hardtail-mountain-bikes/scott/ca/los-angeles/scale-970/146256111,1049.99,https://marketplacer.imgix.net/DD/ACh7ePhGTxTn_c3as8LyMa-qk.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=93aeb5c940897600c621ad2e4a9594d2,Scott,Hardtail Mountain Bikes,Black,"15.5"", 17.5"", 19"", 21"", 23""","Small, Medium, Large, XL, XXL",Unisex,Cross Country,Aluminum,"29""",Shimano SLX,New,In-store,146256111,CA,Los Angeles,.
613,13719,Scott Aspect 980 2019,https://www.bikeexchange.com/a/hardtail-mountain-bikes/scott/ca/los-angeles/aspect-980/146256268,399.99,https://marketplacer.imgix.net/CZ/d_IwVjFcww-cAdtszPV2dz7g0.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=15785c42b4795b3b561beb534a511793,Scott,Hardtail Mountain Bikes,Dark Blue,"15.5"", 17"", 19"", 21"", 23""","Small, Medium, Large, XL, XXL",Unisex,Recreational,Aluminum,"29""",Shimano Tourney,New,In-store,146256268,CA,Los Angeles,.
614,13720,Scott Contessa Scale 920 2020,https://www.bikeexchange.com/a/hardtail-mountain-bikes/scott/fl/juno-beach/contessa-scale-920/177119739,1799.99,https://marketplacer.imgix.net/KR/1Fjy2hWHhQFJxYk_qXcUTgXXM.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=5c040c2c5dc4a4f97582b0f9d7c8f894,Scott,Hardtail Mountain Bikes,Beige,"15.5"", 17.5"", 19""","Small, Medium, Large",Womens,Cross Country,Carbon,"29""",SRAM SX Eagle,New,In-store,177119739,FL,Juno Beach,.
615,13721,Cannondale F-Si Carbon 5 2020,https://www.bikeexchange.com/a/hardtail-mountain-bikes/cannondale/wi/green-bay/f-si-carbon-5/186523905,2400.0,https://marketplacer.imgix.net/z6/Ljm0kQKjpKIEpLzBMst4WpOSY.png?auto=format&fm=pjpg&fit=max&w=640&h=576&s=1345108ddaafb33bb7976a9767bab627,Cannondale,Hardtail Mountain Bikes,Black,"17"", 19""","Medium, Large",Unisex,Cross Country,Carbon,"29""",SRAM NX,New,In-store,186523905,WI,Green Bay,.
616,13722,Scott Aspect 950 2020,https://www.bikeexchange.com/a/hardtail-mountain-bikes/scott/ca/lincoln/aspect-950/174084339,599.99,https://marketplacer.imgix.net/Vd/h4xaSzlDkJFOs3gHNwwcPDK5k.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=d6b26fbeddbc83f0103b98a9c39f83b4,Scott,Hardtail Mountain Bikes,"Blue, Red","14"", 15.5"", 17"", 19"", 21"", 23""","XS, Small, Medium, Large, XL, XXL",Unisex,Cross Country,Aluminum,"29""",Shimano Altus,New,In-store,174084339,CA,Lincoln,.
617,13723,Cannondale Rush 29 1 2015,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/cannondale/il/willow-springs/rush-29-1/100033856,2599.99,https://marketplacer.imgix.net/71/WId2_sZo6WFkbjLezHPLYPDvU.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=60bcba093c52a069579f338ed627be8d,Cannondale,Full Suspension Mountain Bikes,Matte Black,"15"", 17"", 19"", 21""","Small, Medium, Large, XL",Unisex,Cross Country,Aluminum,"29""",Shimano XT,New,In-store,100033856,IL,Willow Springs,.
618,13724,Specialized Demo 8 Fsr I 2018,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/specialized/ca/torrance/demo-8-fsr-i/113090831,3500.0,https://marketplacer.imgix.net/y4/IO0a_nc0PvRFWoZwKdsps9GnQ?auto=format&fm=pjpg&fit=max&w=640&h=576&s=68fd4dc03b2fe67d328bbfd76f250ef8,Specialized,Full Suspension Mountain Bikes,Pink,"17""",Medium,Unisex,Downhill & Freeride,Aluminum,"27.5""",SRAM GX,New,In-store,113090831,CA,Torrance,.
619,13725,Trek Marlin 5 2017,https://www.bikeexchange.com/a/hardtail-mountain-bikes/trek/fl/tampa/marlin-5/174698414,449.99,https://marketplacer.imgix.net/JN/qPszlQpZviJBVMwcJ8FOANe78?auto=format&fm=pjpg&fit=max&w=640&h=576&s=2732c748dadaf75647b38616e7b13bd5,Trek,Hardtail Mountain Bikes,Matte Black,"13.5""",XXS,Unisex,Cross Country,Aluminum,"29""",Shimano Tourney,New,In-store,174698414,FL,Tampa,.
